matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,perf_start,L1_loads,L1_misses,LLC_loads,LLC_misses
cage13.mtx,445315,445315,7479343,-O3,16,1000,static,C-N,7054546729,98400340,1773284,870565
cage13.mtx,445315,445315,7479343,-O3,16,1000,dynamic,C-N,7053447458,97735495,1725413,889186
cage13.mtx,445315,445315,7479343,-O3,16,1000,guided,C-N,7053293701,96417601,584001,447112
cage13.mtx,445315,445315,7479343,-O3,16,10000,static,C-N,7055645613,96577561,594808,450355
cage13.mtx,445315,445315,7479343,-O3,16,10000,dynamic,C-N,7054794049,95803310,530710,365148
cage13.mtx,445315,445315,7479343,-O3,16,10000,guided,C-N,7054492981,96065219,474167,337446
cage13.mtx,445315,445315,7479343,-O3,32,1,static,C-N,7071761123,104422289,4036289,1810467
cage13.mtx,445315,445315,7479343,-O3,32,1,dynamic,C-N,7065598612,107892592,6080943,1983175
cage13.mtx,445315,445315,7479343,-O3,32,1,guided,C-N,7058072841,96800335,891398,511415
cage13.mtx,445315,445315,7479343,-O3,32,10,static,C-N,7063269001,98377774,1785031,699201
cage13.mtx,445315,445315,7479343,-O3,32,10,dynamic,C-N,7058833927,99508908,2743869,1179210
cage13.mtx,445315,445315,7479343,-O3,32,10,guided,C-N,7058161816,96985996,859271,493885
cage13.mtx,445315,445315,7479343,-O3,32,100,static,C-N,7062986131,97431850,1352484,559693
cage13.mtx,445315,445315,7479343,-O3,32,100,dynamic,C-N,7058229372,97635434,2114371,878306
cage13.mtx,445315,445315,7479343,-O3,32,100,guided,C-N,7058166060,97027463,919672,565933
cage13.mtx,445315,445315,7479343,-O3,32,1000,static,C-N,7062280509,97383976,1346905,649353
cage13.mtx,445315,445315,7479343,-O3,32,1000,dynamic,C-N,7058769442,96926704,794973,515396
cage13.mtx,445315,445315,7479343,-O3,32,1000,guided,C-N,7059222813,97499943,1239460,679676
cage13.mtx,445315,445315,7479343,-O3,32,10000,static,C-N,7064617291,96620203,595148,441937
cage13.mtx,445315,445315,7479343,-O3,32,10000,dynamic,C-N,7062691779,96684223,903564,560007
cage13.mtx,445315,445315,7479343,-O3,32,10000,guided,C-N,7064833700,97738185,1830773,837174
cage13.mtx,445315,445315,7479343,-O3,64,1,static,C-N,7088568659,106315635,6535399,2107877
cage13.mtx,445315,445315,7479343,-O3,64,1,dynamic,C-N,7076222625,110680677,8461019,2785650
cage13.mtx,445315,445315,7479343,-O3,64,1,guided,C-N,7070351268,96086509,596850,376503
cage13.mtx,445315,445315,7479343,-O3,64,10,static,C-N,7075875517,99481234,2731958,801365
cage13.mtx,445315,445315,7479343,-O3,64,10,dynamic,C-N,7069190132,99098175,2374087,922321
cage13.mtx,445315,445315,7479343,-O3,64,10,guided,C-N,7068619567,96693007,1197505,564418
cage13.mtx,445315,445315,7479343,-O3,64,100,static,C-N,7074648312,97147421,1420697,582089
cage13.mtx,445315,445315,7479343,-O3,64,100,dynamic,C-N,7068796103,97444105,1205347,540241
cage13.mtx,445315,445315,7479343,-O3,64,100,guided,C-N,7068971346,97521795,1929029,747262
cage13.mtx,445315,445315,7479343,-O3,64,1000,static,C-N,7076659362,97623063,1307562,653708
cage13.mtx,445315,445315,7479343,-O3,64,1000,dynamic,C-N,7075147878,97780388,1961196,759866
cage13.mtx,445315,445315,7479343,-O3,64,1000,guided,C-N,7073100875,96065321,559484,380589
cage13.mtx,445315,445315,7479343,-O3,64,10000,static,C-N,7082134951,96253188,550738,353052
cage13.mtx,445315,445315,7479343,-O3,64,10000,dynamic,C-N,7079613569,96945525,564938,356815
cage13.mtx,445315,445315,7479343,-O3,64,10000,guided,C-N,7076306028,97994618,1835748,671097
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1,static,C-N,3909855929,45760286,248364,161448
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1,dynamic,C-N,3936809035,45668244,252351,157088
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1,guided,C-N,3909856244,45726832,253765,161489
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10,static,C-N,3909855930,45063524,248715,159274
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10,dynamic,C-N,3912551229,45657053,245997,152432
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10,guided,C-N,3909856242,45083451,241768,149627
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,100,static,C-N,3909855936,45729001,261894,171542
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,100,dynamic,C-N,3910125447,45633038,271389,177962
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,100,guided,C-N,3909856245,45699784,248100,155511
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1000,static,C-N,3909855932,45566632,244912,153440
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1000,dynamic,C-N,3909882877,45617426,273596,178988
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1000,guided,C-N,3909856244,45218681,247921,159316
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10000,static,C-N,3909855932,45686213,269232,174513
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10000,dynamic,C-N,3909858615,45578175,269869,174516
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10000,guided,C-N,3909856244,45606835,267514,172298
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1,static,C-N,3948517294,47437190,396637,329854
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1,dynamic,C-N,3937119544,49438716,840915,719715
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1,guided,C-N,3910245514,45966385,401217,310150
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10,static,C-N,3913980475,47102866,485773,382057
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10,dynamic,C-N,3912862315,47295557,896457,788868
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10,guided,C-N,3910254612,45977642,477060,388467
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,100,static,C-N,3910546445,45580095,473518,381243
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,100,dynamic,C-N,3910437395,46288490,696480,607231
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,100,guided,C-N,3910166109,45801960,264852,178145
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1000,static,C-N,3910204316,45832180,358743,292530
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1000,dynamic,C-N,3910192486,45771672,489631,411208
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1000,guided,C-N,3910166271,45729482,262904,174781
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10000,static,C-N,3910210571,45193073,271305,199603
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10000,dynamic,C-N,3910172847,45882656,289209,211061
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10000,guided,C-N,3910166928,45219011,259702,168650
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1,static,C-N,3948926878,50402280,431858,330573
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1,dynamic,C-N,3937720635,55512133,2336647,2159598
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1,guided,C-N,3910771247,45466900,269676,187464
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10,static,C-N,3914571927,48135027,1122294,1007854
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10,dynamic,C-N,3913461450,47670228,1077008,955588
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10,guided,C-N,3911198669,45950834,272368,206201
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,100,static,C-N,3911148361,46338437,698736,614910
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,100,dynamic,C-N,3911035683,46754783,1405372,1340882
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,100,guided,C-N,3910767472,45791870,276543,187018
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1000,static,C-N,3911059237,46152274,408962,316655
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1000,dynamic,C-N,3910793134,46151782,477501,413165
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1000,guided,C-N,3910769215,45986842,486535,404169
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10000,static,C-N,3910869108,45813556,296405,232662
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10000,dynamic,C-N,3910952537,46622793,955552,897681
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10000,guided,C-N,3910814323,46521956,875403,794118
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1,static,C-N,3951303733,58432103,3327179,1972985
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1,dynamic,C-N,3938944975,66734570,7013315,4212820
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1,guided,C-N,3912898182,47450299,1619635,1104047
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,10,static,C-N,3917009488,48516461,1405582,881057
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,10,dynamic,C-N,3914684172,49550375,1691745,1026650
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,10,guided,C-N,3912376322,46239994,533415,359057
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,100,static,C-N,3913089789,46796489,953579,640809
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,100,dynamic,C-N,3912260310,46387747,832779,615949
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,100,guided,C-N,3912124228,46893806,1429921,881717
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1000,static,C-N,3912899061,45964041,377692,262143
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1000,dynamic,C-N,3912041633,47327149,1666134,1083412
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1000,guided,C-N,3912088336,46233841,308292,198022
