matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,perf_start,L1_loads,L1_misses,LLC_loads,LLC_misses
cage13.mtx,445315,445315,7479343,-O3,64,1,guided,C-N,7044317862,97741966,924436,155349
cage13.mtx,445315,445315,7479343,-O3,64,10,static,C-N,7077453382,99508927,2363867,467139
cage13.mtx,445315,445315,7479343,-O3,64,10,dynamic,C-N,7059671865,99749042,2357157,507927
cage13.mtx,445315,445315,7479343,-O3,64,10,guided,C-N,7044107246,97765932,925107,158893
cage13.mtx,445315,445315,7479343,-O3,64,100,static,C-N,7044196523,98125164,1195480,194811
cage13.mtx,445315,445315,7479343,-O3,64,100,dynamic,C-N,7044198831,98121587,1204956,200974
cage13.mtx,445315,445315,7479343,-O3,64,100,guided,C-N,7044247686,97803407,897921,156563
cage13.mtx,445315,445315,7479343,-O3,64,1000,static,C-N,7044392276,97817097,931746,154995
cage13.mtx,445315,445315,7479343,-O3,64,1000,dynamic,C-N,7044329405,97640409,936725,167850
cage13.mtx,445315,445315,7479343,-O3,64,1000,guided,C-N,7055636579,97845680,906048,158688
cage13.mtx,445315,445315,7479343,-O3,64,10000,static,C-N,7046094812,97624303,862739,138151
cage13.mtx,445315,445315,7479343,-O3,64,10000,dynamic,C-N,7046310041,98199704,868806,145434
cage13.mtx,445315,445315,7479343,-O3,64,10000,guided,C-N,7047175120,97530918,853515,148762
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1,static,C-N,3902030152,46903868,508036,83960
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1,dynamic,C-N,3930568727,46928817,499425,79814
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1,guided,C-N,3902030453,46831304,500811,78693
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10,static,C-N,3902030153,46819262,513429,79629
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10,dynamic,C-N,3904883988,46831600,500983,80096
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10,guided,C-N,3902030457,46795016,507121,83526
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,100,static,C-N,3902030147,46797575,514684,80305
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,100,dynamic,C-N,3902315524,46859215,514555,82208
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,100,guided,C-N,3902030467,46929979,518388,77569
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1000,static,C-N,3902030155,46841620,517581,87624
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1000,dynamic,C-N,3902058680,46861663,510799,81164
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,1000,guided,C-N,3902030460,46952819,513438,84012
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10000,static,C-N,3902030147,46881546,504059,77649
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10000,dynamic,C-N,3902032987,46889208,504448,75096
G3_circuit.mtx,1585478,1585478,4623152,-O3,1,10000,guided,C-N,3902030468,46826872,515605,85690
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1,static,C-N,3941700844,48296254,556922,82145
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1,dynamic,C-N,3930597449,51840212,1418091,82474
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1,guided,C-N,3902070806,46815534,520935,82833
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10,static,C-N,3906022009,47848244,710708,115202
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10,dynamic,C-N,3904913104,47905214,681793,82444
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10,guided,C-N,3902098730,46886344,515127,87455
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,100,static,C-N,3902470003,47081579,622870,123196
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,100,dynamic,C-N,3902347184,47072761,624070,109755
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,100,guided,C-N,3902084348,46860863,514409,89494
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1000,static,C-N,3902104556,46913091,582583,94938
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1000,dynamic,C-N,3902090774,46860536,578723,90700
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,1000,guided,C-N,3902084202,46692492,506716,90009
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10000,static,C-N,3902062959,46830318,518879,84466
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10000,dynamic,C-N,3902066923,46914259,511123,85697
G3_circuit.mtx,1585478,1585478,4623152,-O3,2,10000,guided,C-N,3902067748,46914686,513346,79022
